updated_at;event_type;external_user_id;time;timezone;campaign_id;campaign_name;message_variation_id;canvas_id;canvas_name;canvas_variation_id;canvas_variation_name;canvas_step_id;canvas_step_name;send_id;dispatch_id;sending_ip;ip_pool;bounce_reason;esp;from_domain;is_drop;int
;;;;;;;;;;;;;;;;;;;;;;
SparkPost;service.mon-marche.fr;;;;;;;;;;;;;;;;;;;;;
18/09/2022 09:36;users_messages_email_Bounce;NyZM_88Ar;1663493716;Europe/Paris;NULL;NULL;NULL;a49ecc19-cdb6-41f9-8638-1314fa239ec7;ONBO_online/offline_v1;00265cbb-1c0c-4988-8da4-746f63d19dd2;ONBO;19b24855-694c-4012-b5bd-f9993c4ae2aa;ONBO_Email-NPS_online_2;NULL;6326e64daa4314ae5db22d7596cac01c;223.165.114.82;marketing_3429;550 5.1.1 ...@... user does not exist;SparkPost;news.mon-marche.fr;NULL;
17/09/2022 08:20;users_messages_email_Bounce;9TDtsXuDk;1663402588;Europe/Paris;NULL;NULL;NULL;0b4b93b9-6fa2-474b-8d40-72caa29ed878;TRAN_creationdecompte;7b89c1e4-7b74-4e34-a847-6402f41b6ad2;TRAN_creationdecompte;98cf6501-1bf3-44aa-90f7-0a42370f7289;TRAN_creationdecompte_email;NULL;63258258480e1ab466c56a81a2c848b1;223.165.112.128;transactional_4341;550-5.1.1 The email account that you tried to reach does not exist. Please try;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
SparkPost;service.mon-marche.fr;;;;;;;;;;;;;;;;;;;;;
17/09/2022 16:46;users_messages_email_Bounce;kMTn7VcpT;1663432989;Europe/Paris;NULL;NULL;NULL;0b4b93b9-6fa2-474b-8d40-72caa29ed878;TRAN_creationdecompte;7b89c1e4-7b74-4e34-a847-6402f41b6ad2;TRAN_creationdecompte;98cf6501-1bf3-44aa-90f7-0a42370f7289;TRAN_creationdecompte_email;NULL;6325f919a57050f26c242078ea5d82c8;223.165.112.128;transactional_4341;550-5.1.1 The email account that you tried to reach does not exist. Please try;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
SparkPost;service.mon-marche.fr;;;;;;;;;;;;;;;;;;;;;
17/09/2022 15:55;users_messages_email_Bounce;INaO9LW75;1663429820;Europe/Paris;NULL;NULL;NULL;0b4b93b9-6fa2-474b-8d40-72caa29ed878;TRAN_creationdecompte;7b89c1e4-7b74-4e34-a847-6402f41b6ad2;TRAN_creationdecompte;98cf6501-1bf3-44aa-90f7-0a42370f7289;TRAN_creationdecompte_email;NULL;6325ecb9a02d834f9562b6c68de06c86;223.165.112.128;transactional_4341;550-5.1.1 The email account that you tried to reach does not exist. Please try;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
SparkPost;service.mon-marche.fr;;;;;;;;;;;;;;;;;;;;;
01/09/2022 09:15;users_messages_email_Bounce;0w5BOTaRx;1662023424;Europe/Paris;NULL;NULL;NULL;0b4b93b9-6fa2-474b-8d40-72caa29ed878;TRAN_creationdecompte;7b89c1e4-7b74-4e34-a847-6402f41b6ad2;TRAN_creationdecompte;98cf6501-1bf3-44aa-90f7-0a42370f7289;TRAN_creationdecompte_email;NULL;631076fb8a58281b301be5ee71f661aa;223.165.112.128;transactional_4341;552 1 Requested mail action aborted, mailbox not found;SparkPost;service.mon-marche.fr;NULL;
01/09/2022 09:35;users_messages_email_Bounce;oPYiRXPUJ;1662024917;Europe/Paris;NULL;NULL;NULL;a49ecc19-cdb6-41f9-8638-1314fa239ec7;ONBO_online/offline_v1;00265cbb-1c0c-4988-8da4-746f63d19dd2;ONBO;19b24855-694c-4012-b5bd-f9993c4ae2aa;ONBO_Email-NPS_online_2;NULL;63107ccfc392425c68da14e0a0c520f3;223.165.114.82;marketing_3429;550-5.1.1 The email account that you tried to reach does not exist. Please try;;;;
;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
SparkPost;news.mon-marche.fr;;;;;;;;;;;;;;;;;;;;;
