updated_at;event_type;external_user_id;time;timezone;campaign_id;campaign_name;message_variation_id;canvas_id;canvas_name;canvas_variation_id;canvas_variation_name;canvas_step_id;canvas_step_name;send_id;dispatch_id;ip_pool
2022-10-14T15:29:02;users_messages_email_Unsubscribe;q6hw-37ag;1665761148;NULL;9e6b8d25-8f33-4703-a02d-962b251659fe;141022_NEWS_semainegout_E_v1;b435044a-eb8a-4c66-b5d0-6e5d66326de0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;6349726a0e13f02179df657400f990b5;NULL
2022-10-14T16:04:22;users_messages_email_Unsubscribe;Tzv3ZqLIt;1665763178;Europe/Paris;9e6b8d25-8f33-4703-a02d-962b251659fe;141022_NEWS_semainegout_E_v1;b435044a-eb8a-4c66-b5d0-6e5d66326de0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;6349726a0e13f02179df657400f990b5;NULL
2022-10-14T16:09:25;users_messages_email_Unsubscribe;QW70aO8RX;1665763708;Europe/Paris;9e6b8d25-8f33-4703-a02d-962b251659fe;141022_NEWS_semainegout_E_v1;b435044a-eb8a-4c66-b5d0-6e5d66326de0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;6349726a0e13f02179df657400f990b5;NULL
2022-10-14T16:14:34;users_messages_email_Unsubscribe;shcTHHPzy;1665763997;Europe/Paris;9e6b8d25-8f33-4703-a02d-962b251659fe;141022_NEWS_semainegout_E_v1;b435044a-eb8a-4c66-b5d0-6e5d66326de0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;6349726a0e13f02179df657400f990b5;NULL
2022-10-14T19:38:18;users_messages_email_Unsubscribe;tEE7WAsVE;1665776116;Europe/Paris;9e6b8d25-8f33-4703-a02d-962b251659fe;141022_NEWS_semainegout_E_v1;b435044a-eb8a-4c66-b5d0-6e5d66326de0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;6349726a0e13f02179df657400f990b5;NULL
2022-10-14T18:31:23;users_messages_email_Unsubscribe;MI31OxFyf;1665772067;Europe/Paris;9e6b8d25-8f33-4703-a02d-962b251659fe;141022_NEWS_semainegout_E_v1;b435044a-eb8a-4c66-b5d0-6e5d66326de0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;6349726a0e13f02179df657400f990b5;NULL
2022-10-14T21:29:52;users_messages_email_Unsubscribe;NsDdEt7CZ;1665782750;Europe/Paris;NULL;NULL;NULL;67b96876-5f66-4fb8-a2e3-cdc577087715;WELC_v1;56266747-281e-483a-b9f0-df8a9c975455;WELC;9b391226-5719-4551-bf31-316a88c1c17b;WELC_1j_email1;NULL;6349959cea32dc0f991630ac8c8320c0;NULL
2022-10-15T02:07:07;users_messages_email_Unsubscribe;TYoP4J4Ft;1665799311;Europe/Paris;9e6b8d25-8f33-4703-a02d-962b251659fe;141022_NEWS_semainegout_E_v1;b435044a-eb8a-4c66-b5d0-6e5d66326de0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;6349726a0e13f02179df657400f990b5;NULL
2022-10-15T08:51:22;users_messages_email_Unsubscribe;qHrSHq6Ym;1665823728;Europe/Paris;9e6b8d25-8f33-4703-a02d-962b251659fe;141022_NEWS_semainegout_E_v1;b435044a-eb8a-4c66-b5d0-6e5d66326de0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;6349726a0e13f02179df657400f990b5;NULL
2022-10-15T08:51:33;users_messages_email_Unsubscribe;#NOM?;1665823653;Europe/Paris;403ca41e-036f-46d6-9669-981845ff8e31;101022_NEWS_semainegout_E_v1;49091289-abea-418b-9981-e58af87bdaf8;NULL;NULL;NULL;NULL;NULL;NULL;NULL;63442c6ae5f9a90e34e5d29b9891ceeb;NULL
2022-10-15T09:57:06;users_messages_email_Unsubscribe;v_YlcwA32;1665827529;Europe/Paris;9e6b8d25-8f33-4703-a02d-962b251659fe;141022_NEWS_semainegout_E_v1;b435044a-eb8a-4c66-b5d0-6e5d66326de0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;6349726a0e13f02179df657400f990b5;NULL
2022-10-15T13:46:22;users_messages_email_Unsubscribe;sX1DyCXZr;1665841347;Europe/Paris;NULL;NULL;NULL;b6ac6fc3-3903-4e2d-9582-a8e48efe1c55;PREV_churn-otherclt_v2;cc8bb31e-5586-4656-a8b6-e122c8f738fe;PREV_churn-otherclt_v2;d5c1d31d-b444-40fc-adaf-4086a912773d;PREV_Email-1_other;NULL;63498088e89e873530f7eb5059d3516c;NULL
2022-10-15T16:39:03;users_messages_email_Unsubscribe;Ik5KkQ2YM;1665851756;Europe/Berlin;9e6b8d25-8f33-4703-a02d-962b251659fe;141022_NEWS_semainegout_E_v1;b435044a-eb8a-4c66-b5d0-6e5d66326de0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;6349726a0e13f02179df657400f990b5;NULL
2022-10-16T08:15:38;users_messages_email_Unsubscribe;ixM5SKEDA;1665907894;Europe/Paris;340deae0-8cac-453d-b5c5-c33e4eb5bd8c;051022_PROM_S40_E_v1;9d3efeed-d34b-4b71-aa3d-45c862e22046;NULL;NULL;NULL;NULL;NULL;NULL;NULL;633d4e9cae7d700696985c644ea1c653;NULL
2022-10-16T10:07:48;users_messages_email_Unsubscribe;04c1fWOrh;1665914652;Europe/Paris;59d09e41-6e3b-41bc-a44d-7efb9d4dc9fd;121022_PROM_S41_E_v1;1c36f464-0fc3-4dba-82d0-65ea9c09cd8f;NULL;NULL;NULL;NULL;NULL;NULL;NULL;6346dd7a1b930bd70e01c430f00bf18e;NULL
2022-10-16T17:40:47;users_messages_email_Unsubscribe;r832QuJktM;1665941912;Europe/Paris;NULL;NULL;NULL;74bae1e9-da6b-43b4-a9c9-29697bf1be06;150922_SURV_churn_E_v1;690a0deb-4e00-4fa0-9eac-ae4fde226c0a;150922_SURV_churn_E_v1;b21a15c2-0643-43e8-94ef-56227d19bb4f;150922_SURV_churn90-180_E_v1;NULL;63230ccfbea0da5871f5fa04251a6643;NULL
2022-10-17T11:56:18;users_messages_email_Unsubscribe;-4dklUEBW;1666007637;Europe/Paris;NULL;NULL;NULL;2dd46737-523c-4950-bb5d-8608f5dead78;ABAN_v3.0;e097111d-e0f6-466d-848e-f5bd687250c6;ABAN_v3.0_1h;50009a3a-da36-4257-ac70-6a5bf124b43f;ABAN_Email-2_existing;NULL;634d42399019a0e110fae80cca48079b;NULL
2022-10-17T13:36:20;users_messages_email_Unsubscribe;bJjBFURssa;1666013699;NULL;f9208571-24a8-455b-bbf7-e822c70b2d11;NL_PromosS43;13595083-d2be-4719-8637-168da26f4b7f;NULL;NULL;NULL;NULL;NULL;NULL;NULL;0b01e0d1c7af8181cd8790a70bc35f26;NULL
2022-10-17T14:52:44;users_messages_email_Unsubscribe;aNS-fPYgbx;1666018056;Europe/Paris;NULL;NULL;NULL;b6ac6fc3-3903-4e2d-9582-a8e48efe1c55;PREV_churn-otherclt_v2;cc8bb31e-5586-4656-a8b6-e122c8f738fe;PREV_churn-otherclt_v2;d5c1d31d-b444-40fc-adaf-4086a912773d;PREV_Email-1_other;NULL;634ad20ee72e4d54cb4c3c28be2d4aef;NULL
2022-10-17T15:28:25;users_messages_email_Unsubscribe;aNS-fPYgbx;1666020238;Europe/Paris;59d09e41-6e3b-41bc-a44d-7efb9d4dc9fd;121022_PROM_S41_E_v1;1c36f464-0fc3-4dba-82d0-65ea9c09cd8f;NULL;NULL;NULL;NULL;NULL;NULL;NULL;6346dd7a1b930bd70e01c430f00bf18e;NULL
2022-10-18T16:31:02;users_messages_email_Unsubscribe;biGQRsdr8;1666110656;Europe/Paris;NULL;NULL;NULL;b6ac6fc3-3903-4e2d-9582-a8e48efe1c55;PREV_churn-otherclt_v2;cc8bb31e-5586-4656-a8b6-e122c8f738fe;PREV_churn-otherclt_v2;d5c1d31d-b444-40fc-adaf-4086a912773d;PREV_Email-1_other;NULL;634ec68cd127154ba90bf1585d3da51c;NULL
2022-10-19T09:35:33;users_messages_email_Unsubscribe;ZFGcTnjOd;1666171906;Europe/Berlin;d051b691-74ac-4cf0-995b-872be6de7256;191022_PROM_S42_E_v1;129dc5dc-fc0b-40b3-a149-d4fb0e59bfdb;NULL;NULL;NULL;NULL;NULL;NULL;NULL;634fc399b5a8d7f5ea1433c8ede68bd3;NULL
2022-10-19T09:35:34;users_messages_email_Unsubscribe;YASA4xCPK;1666172002;Europe/Paris;d051b691-74ac-4cf0-995b-872be6de7256;191022_PROM_S42_E_v1;129dc5dc-fc0b-40b3-a149-d4fb0e59bfdb;NULL;NULL;NULL;NULL;NULL;NULL;NULL;634fc399b5a8d7f5ea1433c8ede68bd3;NULL
2022-10-19T09:40:33;users_messages_email_Unsubscribe;kWZOkXsJM;1666172189;Europe/Paris;d051b691-74ac-4cf0-995b-872be6de7256;191022_PROM_S42_E_v1;129dc5dc-fc0b-40b3-a149-d4fb0e59bfdb;NULL;NULL;NULL;NULL;NULL;NULL;NULL;634fc399b5a8d7f5ea1433c8ede68bd3;NULL
2022-10-19T09:45:42;users_messages_email_Unsubscribe;Tzv3ZqLIt;1666172531;Europe/Paris;d051b691-74ac-4cf0-995b-872be6de7256;191022_PROM_S42_E_v1;129dc5dc-fc0b-40b3-a149-d4fb0e59bfdb;NULL;NULL;NULL;NULL;NULL;NULL;NULL;634fc399b5a8d7f5ea1433c8ede68bd3;NULL
2022-10-19T10:45:59;users_messages_email_Unsubscribe;e8HnyPy5p;1666176077;Europe/Paris;d051b691-74ac-4cf0-995b-872be6de7256;191022_PROM_S42_E_v1;129dc5dc-fc0b-40b3-a149-d4fb0e59bfdb;NULL;NULL;NULL;NULL;NULL;NULL;NULL;634fc399b5a8d7f5ea1433c8ede68bd3;NULL
2022-10-19T10:46:49;users_messages_email_Unsubscribe;sa9Iue1Ov;1666176114;Europe/Paris;d051b691-74ac-4cf0-995b-872be6de7256;191022_PROM_S42_E_v1;129dc5dc-fc0b-40b3-a149-d4fb0e59bfdb;NULL;NULL;NULL;NULL;NULL;NULL;NULL;634fc399b5a8d7f5ea1433c8ede68bd3;NULL
2022-10-19T11:21:39;users_messages_email_Unsubscribe;5aFLk17VM;1666178297;Europe/Paris;NULL;NULL;NULL;3830b844-1ec3-43f2-84fc-ad718cec5bc8;PROS_cptesanscde_v2;4ad8b9bd-cc9d-42b1-a9b7-6613d34fb562;Variant 1;6ff2f419-49a0-411a-9809-3d81644886d5;PROS_Email-email1;NULL;634fdc3d7072d3b9edede05b79ff67de;NULL
2022-10-19T11:42:45;users_messages_email_Unsubscribe;gc5I397msB;1666179700;Europe/Paris;d051b691-74ac-4cf0-995b-872be6de7256;191022_PROM_S42_E_v1;129dc5dc-fc0b-40b3-a149-d4fb0e59bfdb;NULL;NULL;NULL;NULL;NULL;NULL;NULL;634fc399b5a8d7f5ea1433c8ede68bd3;NULL
2022-10-19T12:37:10;users_messages_email_Unsubscribe;ME744GIcU;1666182917;Europe/Paris;d051b691-74ac-4cf0-995b-872be6de7256;191022_PROM_S42_E_v1;129dc5dc-fc0b-40b3-a149-d4fb0e59bfdb;NULL;NULL;NULL;NULL;NULL;NULL;NULL;634fc399b5a8d7f5ea1433c8ede68bd3;NULL
