updated_at;event_type;external_user_id;time;timezone;campaign_id;campaign_name;message_variation_id;canvas_id;canvas_name;canvas_variation_id;canvas_variation_name;canvas_step_id;canvas_step_name;send_id;dispatch_id;ip_pool;user_agent;esp;from_domain;;int
02/09/2022 11:25;users_messages_email_MarkAsSpam;PerKlKh9Ix;1662117700;NULL;NULL;NULL;NULL;969f1df2-fc4b-48fe-b0ca-7530f702e5c7;PREV_churn-otherclt_v1;1b165555-49bb-4106-a1dc-a58cf1a3bfe1;PREV_v50j;eab0931a-3564-4037-aedc-1c63f4365617;PREV_Email-relanceincentive_v50j_ 6;NULL;6304fadccfa71de9ba6a4b65e17988c6;marketing_3429;NULL;SparkPost;news.mon-marche.fr;;1
17/09/2022 23:09;users_messages_email_MarkAsSpam;Nmy_VSndN;1663456105;Europe/Paris;NULL;NULL;NULL;74a9e127-3e55-4c35-b08b-616b7aea61a5;TRAN_commandeprete-livraison;029d043a-a943-4b20-9d9c-72c4cc732547;Variant 1;dacbbe8d-d515-428c-a8f7-72b08482e8a4;TRAN_commandeprete-livraison_E_V1;NULL;6322ebf18a39773cb504cd263ec261b3;transactional_4341;NULL;SparkPost;service.mon-marche.fr;;2
03/09/2022 17:24;users_messages_email_MarkAsSpam;3uAF-xfRv;1662225592;Africa/Dakar;c0b42e83-d8ca-4e24-a4d6-a22b6c56ae80;020922_NEWS_ProduitsSeptembre_E_V1;529f604d-8940-4406-91d6-885b7488228b;NULL;NULL;NULL;NULL;NULL;NULL;NULL;63121a7275cb5aed2f83d1c2d178f0cd;marketing_3429;NULL;SparkPost;news.mon-marche.fr;;3
09/09/2022 05:37;users_messages_email_MarkAsSpam;6BW7q_vgw;1662701503;Europe/Paris;2574216b-2ea6-4d84-8d9e-a0748e77f287;220822_NEWS_FinBonBaisers_E_v1;c5e13a7a-6cdd-4601-9501-50236f742224;NULL;NULL;NULL;NULL;NULL;NULL;NULL;6303a0fac1fed1fea5a8e68568ca4449;marketing_3429;NULL;SparkPost;news.mon-marche.fr;;4
14/09/2022 11:33;users_messages_email_MarkAsSpam;n4C4E3MjAr;1663154985;NULL;44cb3cad-fbdd-4387-b8ea-c3c5bda033d6;140922_PROM_S37_E_V1;33185386-5318-4975-9ecd-51ff5953a717;NULL;NULL;NULL;NULL;NULL;NULL;NULL;63219f1edceebff473c26b8640495558;marketing_3429;NULL;SparkPost;news.mon-marche.fr;;5
27/09/2022 13:37;users_messages_email_MarkAsSpam;xmxE8LwTq;1664285591;Europe/Paris;NULL;NULL;NULL;8e123523-82e9-4412-b4a0-20ed53fa8ea1;TRAN_commandeprete-pickup;bbcb6e22-1db4-4273-bf13-dbb773d561ee;Variant 1;fc74f98e-8520-46ad-a167-fbef09aa2e0e;TRAN_commandeprete-pickup_E_V1;NULL;6332e6c80912345bb67a525fc14ad110;transactional_4341;NULL;SparkPost;service.mon-marche.fr;;6
20/09/2022 11:32;users_messages_email_MarkAsSpam;3nT206BWL;1663673460;Europe/Paris;NULL;NULL;NULL;74bae1e9-da6b-43b4-a9c9-29697bf1be06;150922_SURV_churn_E_v1;690a0deb-4e00-4fa0-9eac-ae4fde226c0a;150922_SURV_churn_E_v1;f2eead31-8f59-4daa-83eb-226d0a201312;200922_SURV_churn180_E_v1;NULL;6329a4554ead5f164ea009fe282d088f;marketing_3429;NULL;SparkPost;news.mon-marche.fr;;7
21/09/2022 09:34;users_messages_email_MarkAsSpam;ISCaX7eIT;1663752757;NULL;21106ec4-a451-481e-88ca-cf1283a88f8a;210922_PROM_S38-winback_E_V1;fe0e87a2-39b2-4bd0-a3fd-eaa6aad9b7e7;NULL;NULL;NULL;NULL;NULL;NULL;NULL;632ad99a824575b6e21eda8d949f8e2d;marketing_3429;NULL;SparkPost;news.mon-marche.fr;;8
22/09/2022 20:15;users_messages_email_MarkAsSpam;S4J-6aAfi;1663877379;Europe/Paris;f55f86a0-a58a-411e-8e66-73ac27b23369;120922_NEWS_Fatigue_E_V1;0aa883f2-48e6-48e8-878b-a862d530e850;NULL;NULL;NULL;NULL;NULL;NULL;NULL;631f426a3037650a8aed6cddee2fbb66;marketing_3429;NULL;SparkPost;news.mon-marche.fr;;9
27/09/2022 12:45;users_messages_email_MarkAsSpam;xmxE8LwTq;1664282647;Europe/Paris;NULL;NULL;NULL;2d0ec099-e78b-4dc7-ad04-9d7ea0a7e8ce;TRAN_confirmationcommande;40cfc4d5-6657-4fad-b7ea-8a21f9f1c6ce;Variant 1;ccfeb260-4ed2-4c50-8673-345b42bb71be;TRAN_confirmationcommande_E_V1;NULL;6332c2ffc7610de6a05cac0abc303ef8;transactional_4341;NULL;SparkPost;service.mon-marche.fr;;10
04/10/2022 10:01;users_messages_email_MarkAsSpam;95QhLtQQT;1664877406;Europe/Paris;NULL;NULL;NULL;a5531680-16c4-4501-9d8f-2e6cb4b6fc1e;TRAN_commanderecue;4166eb3c-7a14-46c0-a49b-b78ee0cef22c;Variant 1;d1cd6915-3677-4c68-851c-31fc6f21484c;TRAN_commanderecue_E_V1;NULL;633be4c0b542a7bc74b73b7ba4064952;transactional_4341;NULL;SparkPost;service.mon-marche.fr;;11
30/09/2022 13:56;users_messages_email_MarkAsSpam;KiSt-p9qy;1664545990;Europe/Paris;NULL;NULL;NULL;2dd46737-523c-4950-bb5d-8608f5dead78;ABAN_v3.0;e097111d-e0f6-466d-848e-f5bd687250c6;ABAN_v3.0_1h;50009a3a-da36-4257-ac70-6a5bf124b43f;ABAN_Email-2_existing;NULL;6336eedbf4dcbc5f0b3bc210c4e19d4c;marketing_3429;NULL;SparkPost;news.mon-marche.fr;;12
07/10/2022 05:46;users_messages_email_MarkAsSpam;byCxY3XtU;1665121515;Europe/Paris;NULL;NULL;NULL;74a9e127-3e55-4c35-b08b-616b7aea61a5;TRAN_commandeprete-livraison;029d043a-a943-4b20-9d9c-72c4cc732547;Variant 1;dacbbe8d-d515-428c-a8f7-72b08482e8a4;TRAN_commandeprete-livraison_E_V1;NULL;633fbca1393d2d573c6acc133ac6b6d6;transactional_4341;NULL;SparkPost;service.mon-marche.fr;;13
28/10/2022 09:35;users_messages_email_MarkAsSpam;_62fz23uy;1666949481;Europe/Paris;2ad9b77f-9dae-41f4-8989-56306f8ea385;281022_NEWS_avezvousdeja_E_v1;5b522c9c-d30b-41e6-8f5d-4a9e7f9f10f8;NULL;NULL;NULL;NULL;NULL;NULL;NULL;635ba11bec3af687be9da90e1cb078ab;marketing_3429;NULL;SparkPost;news.mon-marche.fr;;14
16/10/2022 14:27;users_messages_email_MarkAsSpam;YE9PQT9wC;1665930142;Europe/Paris;NULL;NULL;NULL;74a9e127-3e55-4c35-b08b-616b7aea61a5;TRAN_commandeprete-livraison;029d043a-a943-4b20-9d9c-72c4cc732547;Variant 1;dacbbe8d-d515-428c-a8f7-72b08482e8a4;TRAN_commandeprete-livraison_E_V1;NULL;634bb60347d1180f08eec5945a97b5ad;transactional_4341;NULL;SparkPost;service.mon-marche.fr;;15
23/10/2022 11:19;users_messages_email_MarkAsSpam;coU9UVco5;1666523582;Europe/Paris;NULL;NULL;NULL;758841f1-8b77-48bd-a43d-7ac15d569c48;211022_NEWS_Courges_M_V1;d3f3a69c-30a0-43f0-975b-a935313599e0;211022_NEWS_Courges_M_V1;9ec98f20-7b65-43f4-b3d9-7393decdc51a;211022_NEWS_Courges-FLtop_E_V1;NULL;63525fde370e077d68d0ee7cb7956572;marketing_3429;NULL;SparkPost;news.mon-marche.fr;;16
25/10/2022 13:16;users_messages_email_MarkAsSpam;almEkSm6p;1666703715;Europe/Paris;2d31f9f8-b5be-47ee-99c2-a5be89c4be7e;031022_NEWS_ProduitsOctobre_E_V1;7f1789df-54d3-4572-833d-0b5206441824;NULL;NULL;NULL;NULL;NULL;NULL;NULL;634037ea6728b8786fe858e386e6af42;marketing_3429;NULL;SparkPost;news.mon-marche.fr;;17
27/10/2022 08:36;users_messages_email_MarkAsSpam;L-e8503sw;1666859531;Europe/Paris;08d707cb-3ba8-4705-9ad8-7fa3d90e846c;261022_PROM_S43_E_v1;d7d2cb17-a99b-491a-845c-3c11365085a0;NULL;NULL;NULL;NULL;NULL;NULL;NULL;6359527a31c652b85a99fb86788b0a6d;marketing_3429;NULL;SparkPost;news.mon-marche.fr;;18
30/10/2022 09:13;users_messages_email_MarkAsSpam;HeDVWc8L3;1667121141;Europe/Paris;NULL;NULL;NULL;67b96876-5f66-4fb8-a2e3-cdc577087715;WELC_v1;56266747-281e-483a-b9f0-df8a9c975455;WELC;9b391226-5719-4551-bf31-316a88c1c17b;WELC_1j_email1;NULL;635e3d1e71c26625c0ca90a2c42f5a15;marketing_3429;NULL;SparkPost;news.mon-marche.fr;;19
29/10/2022 20:33;users_messages_email_MarkAsSpam;m1Qs08pba;1667075461;Europe/Paris;2ad9b77f-9dae-41f4-8989-56306f8ea385;281022_NEWS_avezvousdeja_E_v1;5b522c9c-d30b-41e6-8f5d-4a9e7f9f10f8;NULL;NULL;NULL;NULL;NULL;NULL;NULL;635ba11bec3af687be9da90e1cb078ab;marketing_3429;NULL;SparkPost;news.mon-marche.fr;;20
30/10/2022 12:12;users_messages_email_MarkAsSpam;HmxUm9rl1M;1667131573;Europe/Paris;2ad9b77f-9dae-41f4-8989-56306f8ea385;281022_NEWS_avezvousdeja_E_v1;5b522c9c-d30b-41e6-8f5d-4a9e7f9f10f8;NULL;NULL;NULL;NULL;NULL;NULL;NULL;635ba11bec3af687be9da90e1cb078ab;marketing_3429;NULL;SparkPost;news.mon-marche.fr;;21
30/10/2022 15:32;users_messages_email_MarkAsSpam;fQzazJ1HM;1667143699;Europe/Paris;NULL;NULL;NULL;0b4b93b9-6fa2-474b-8d40-72caa29ed878;TRAN_creationdecompte;7b89c1e4-7b74-4e34-a847-6402f41b6ad2;TRAN_creationdecompte;98cf6501-1bf3-44aa-90f7-0a42370f7289;TRAN_creationdecompte_email;NULL;635e97943747c8e4bc0832e0711a49d2;transactional_4341;NULL;SparkPost;service.mon-marche.fr;;22
04/11/2022 10:54;users_messages_email_MarkAsSpam;VkYgaqUDu;1667559189;Europe/Paris;NULL;NULL;NULL;ae193dad-79fe-4f7b-a5cc-baf973be2bea;041122_NEWS_Poires_M_V1;e8cd8814-4ab1-41f1-96e5-c358053cfb95;041122_NEWS_Poires_M_V1;b1e3b73c-32db-4db8-88dc-8175a8d0dd84;041122_NEWS_Poires-FLtop_E_V1;NULL;6364e30eef72b06e8f3cc77a2c30d02e;marketing_3429;NULL;SparkPost;news.mon-marche.fr;;23
01/11/2022 12:47;users_messages_email_MarkAsSpam;6FUfi8u4E;1667306534;Europe/Paris;2ad9b77f-9dae-41f4-8989-56306f8ea385;281022_NEWS_avezvousdeja_E_v1;5b522c9c-d30b-41e6-8f5d-4a9e7f9f10f8;NULL;NULL;NULL;NULL;NULL;NULL;NULL;635ba11bec3af687be9da90e1cb078ab;marketing_3429;NULL;SparkPost;news.mon-marche.fr;;24
03/11/2022 16:13;users_messages_email_MarkAsSpam;YjgmGhyIm;1667491820;Europe/Paris;21106ec4-a451-481e-88ca-cf1283a88f8a;210922_PROM_S38-winback_E_V1;fe0e87a2-39b2-4bd0-a3fd-eaa6aad9b7e7;NULL;NULL;NULL;NULL;NULL;NULL;NULL;632ad99a824575b6e21eda8d949f8e2d;marketing_3429;NULL;SparkPost;news.mon-marche.fr;;25
04/11/2022 10:10;users_messages_email_MarkAsSpam;ij987OS62;1667556435;Europe/Paris;NULL;NULL;NULL;ae193dad-79fe-4f7b-a5cc-baf973be2bea;041122_NEWS_Poires_M_V1;e8cd8814-4ab1-41f1-96e5-c358053cfb95;041122_NEWS_Poires_M_V1;3a907a74-7160-480f-bca2-cccde598e40b;041122_NEWS_Poires_E_V1;NULL;6364e2f2943ea5cc92743726aa89a672;marketing_3429;NULL;SparkPost;news.mon-marche.fr;;26
14/11/2022 09:32;users_messages_email_MarkAsSpam;nDNfG_XKc;1668418181;Europe/Paris;NULL;NULL;NULL;2d0ec099-e78b-4dc7-ad04-9d7ea0a7e8ce;TRAN_confirmationcommande;40cfc4d5-6657-4fad-b7ea-8a21f9f1c6ce;Variant 1;ccfeb260-4ed2-4c50-8673-345b42bb71be;TRAN_confirmationcommande_E_V1;NULL;6371ef5b592756e9ef055a9cad1bf7c9;transactional_4341;NULL;SparkPost;service.mon-marche.fr;;27
07/11/2022 18:33;users_messages_email_MarkAsSpam;QcEY82ZGL;1667845704;Europe/Paris;2ad9b77f-9dae-41f4-8989-56306f8ea385;281022_NEWS_avezvousdeja_E_v1;5b522c9c-d30b-41e6-8f5d-4a9e7f9f10f8;NULL;NULL;NULL;NULL;NULL;NULL;NULL;635ba11bec3af687be9da90e1cb078ab;marketing_3429;NULL;SparkPost;news.mon-marche.fr;;28
