title,overview,rating,genre,Tokenized_Overview
tremors,hick handymen val mckee and earl bassett can barely eke out a living in the nevada hamlet of perfection  so they decide to leave town    despite an admonition from a shapely seismology coed who s picking up odd readings on her equipment  before long  val and earl discover what s responsible for those readings     foot long carnivorous worms with a proclivity for sucking their prey underground ,68.0,  horror    comedy    action    science fiction  ,"['hick', 'handymen', 'val', 'mckee', 'earl', 'bassett', 'bare', 'eke', 'live', 'nevada', 'hamlet', 'perfect', 'decid', 'leav', 'town', 'despit', 'admonit', 'shape', 'seismolog', 'co', 'pick', 'odd', 'read', 'equip', 'long', 'val', 'earl', 'discov', 'respons', 'read', 'foot', 'long', 'carnivor', 'worm', 'procliv', 'suck', 'prey', 'underground']"
6 underground,after faking his death  a tech billionaire recruits a team of international operatives for a bold and bloody mission to take down a brutal dictator ,63.0,  action    thriller    comedy  ,"['fake', 'death', 'tech', 'billionair', 'recruit', 'team', 'intern', 'oper', 'bold', 'bloodi', 'mission', 'take', 'brutal', 'dictat']"
the king's avatar: for the glory,prequel movie to the animated series the king s avatar  dealing with ye xiu s original entry into the pro gaming world of glory  and the first pro league series tournament ,70.0,  animation    action    adventure    fantasy  ,"['prequel', 'movi', 'anim', 'seri', 'king', 'avatar', 'deal', 'ye', 'xiu', 'origin', 'entri', 'pro', 'game', 'world', 'glori', 'first', 'pro', 'leagu', 'seri', 'tournament']"
unknown,a man awakens from a coma  only to discover that someone has taken on his identity and that no one   not even his wife   believes him  with the help of a young woman  he sets out to prove who he is ,67.0,  action    mystery    thriller  ,"['man', 'awaken', 'coma', 'discov', 'someon', 'taken', 'ident', 'one', 'even', 'wife', 'believ', 'help', 'young', 'woman', 'set', 'prove']"
london has fallen,in london for the prime minister s funeral  mike banning discovers a plot to assassinate all the attending world leaders ,62.0,  action    thriller  ,"['london', 'prime', 'minist', 'funer', 'mike', 'ban', 'discov', 'plot', 'assassin', 'attend', 'world', 'leader']"
what happened to monday,in a world where families are limited to one child due to overpopulation  a set of identical septuplets must avoid being put to a long sleep by the government and dangerous infighting while investigating the disappearance of one of their own ,72.0,  science fiction    thriller    drama    mystery    action  ,"['world', 'famili', 'limit', 'one', 'child', 'due', 'overpopul', 'set', 'ident', 'septuplet', 'must', 'avoid', 'put', 'long', 'sleep', 'govern', 'danger', 'infight', 'investig', 'disappear', 'one']"
saint seiya: evil goddess eris,when seiya  hy ga and shun visit saori  athena  at the orphanage  they meet an employee called eri  an orphan herself  eri takes a liking to hy ga and one night they sit outside watching the stars  they see a shooting star and hy ga asks eri to make a wish  after hy ga leaves  however  eri becomes powerfully attracted to the shooting star and wanders alone into the woods  where she finds a golden apple  she is then possessed by eris  the goddess of discord  and kidnaps athena  planning to use the golden apple to suck her energy out  fully reincarnate and take over the world  eris leaves a message for the bronze saints  who set out for the goddess s temple which appears on the mountains  there  the heroes fight the five ghost saints  maya of sagitta  orpheus of lyra  christ of the southern cross  jan of scutum  called by the japanese name tateza  and j ger of orion ,71.0,  action    animation    fantasy  ,"['seiya', 'hy', 'ga', 'shun', 'visit', 'saori', 'athena', 'orphanag', 'meet', 'employe', 'call', 'eri', 'orphan', 'eri', 'take', 'like', 'hy', 'ga', 'one', 'night', 'sit', 'outsid', 'watch', 'star', 'see', 'shoot', 'star', 'hy', 'ga', 'ask', 'eri', 'make', 'wish', 'hy', 'ga', 'leav', 'howev', 'eri', 'becom', 'power', 'attract', 'shoot', 'star', 'wander', 'alon', 'wood', 'find', 'golden', 'appl', 'possess', 'eri', 'goddess', 'discord', 'kidnap', 'athena', 'plan', 'use', 'golden', 'appl', 'suck', 'energi', 'fulli', 'reincarn', 'take', 'world', 'eri', 'leav', 'messag', 'bronz', 'saint', 'set', 'goddess', 'templ', 'appear', 'mountain', 'hero', 'fight', 'five', 'ghost', 'saint', 'maya', 'sagitta', 'orpheu', 'lyra', 'christ', 'southern', 'cross', 'jan', 'scutum', 'call', 'japanes', 'name', 'tateza', 'j', 'ger', 'orion']"
death race 2,in the world s most dangerous prison  a new game is born  death race  the rules of this adrenaline fueled blood sport are simple  drive or die  when repentant convict carl lucas discovers there s a price on his head  his only hope is to survive a twisted race against an army of hardened criminals and tricked out cars ,58.0,  action    thriller    science fiction  ,"['world', 'danger', 'prison', 'new', 'game', 'born', 'death', 'race', 'rule', 'adrenalin', 'fuel', 'blood', 'sport', 'simpl', 'drive', 'die', 'repent', 'convict', 'carl', 'luca', 'discov', 'price', 'head', 'hope', 'surviv', 'twist', 'race', 'armi', 'harden', 'crimin', 'trick', 'car']"
those who wish me dead,a young boy finds himself pursued by two assassins in the montana wilderness  with a survival expert determined to protect him  and a forest fire threatening to consume them all ,67.0,  thriller    action  ,"['young', 'boy', 'find', 'pursu', 'two', 'assassin', 'montana', 'wilder', 'surviv', 'expert', 'determin', 'protect', 'forest', 'fire', 'threaten', 'consum']"
the 5th wave,   year old cassie sullivan tries to survive in a world devastated by the waves of an alien invasion that has already decimated the population and knocked mankind back to the stone age ,59.0,  science fiction    adventure    action  ,"['year', 'old', 'cassi', 'sullivan', 'tri', 'surviv', 'world', 'devast', 'wave', 'alien', 'invas', 'alreadi', 'decim', 'popul', 'knock', 'mankind', 'back', 'stone', 'age']"
father there is only one,javier is what we have dubbed as a  husband in law   that is that without taking care of the care of the house and children at all  he knows exactly what needs to be done  and that he continuously collects a sum of sentences from the type   it is that you do not organize   or  do not get nervous   you already consider that overflowing woman drowns in a glass of water  javier will have to face the reality of dealing with five children  between four and twelve years old  when his wife decides to go on a trip and leave him alone with them  the chaotic situation that takes place at home will progressively evolve ecologically to the most absolute disaster  but at the same time it will give parents and children the opportunity to meet and enjoy themselves for the first time ,77.0,  comedy  ,"['javier', 'dub', 'husband', 'law', 'without', 'take', 'care', 'care', 'hous', 'children', 'know', 'exactli', 'need', 'done', 'continu', 'collect', 'sum', 'sentenc', 'type', 'organ', 'get', 'nervou', 'alreadi', 'consid', 'overflow', 'woman', 'drown', 'glass', 'water', 'javier', 'face', 'realiti', 'deal', 'five', 'children', 'four', 'twelv', 'year', 'old', 'wife', 'decid', 'go', 'trip', 'leav', 'alon', 'chaotic', 'situat', 'take', 'place', 'home', 'progress', 'evolv', 'ecolog', 'absolut', 'disast', 'time', 'give', 'parent', 'children', 'opportun', 'meet', 'enjoy', 'first', 'time']"
total recall,construction worker douglas quaid s obsession with the planet mars leads him to visit recall  a company who manufacture memories  something goes wrong during his memory implant turning doug s life upside down and even to question what is reality and what isn t ,73.0,  action    adventure    science fiction  ,"['construct', 'worker', 'dougla', 'quaid', 'obsess', 'planet', 'mar', 'lead', 'visit', 'recal', 'compani', 'manufactur', 'memori', 'someth', 'goe', 'wrong', 'memori', 'implant', 'turn', 'doug', 'life', 'upsid', 'even', 'question', 'realiti']"
anna,beneath anna poliatova s striking beauty lies a secret that will unleash her indelible strength and skill to become one of the world s most feared government assassins ,67.0,  thriller    action  ,"['beneath', 'anna', 'poliatova', 'strike', 'beauti', 'lie', 'secret', 'unleash', 'indel', 'strength', 'skill', 'becom', 'one', 'world', 'fear', 'govern', 'assassin']"
robots,rodney copperbottom is a young robot inventor who dreams of making the world a better place  until the evil ratchet takes over big weld industries  now  rodney s dreams   and those of his friends   are in danger of becoming obsolete ,64.0,  animation    comedy    family    science fiction  ,"['rodney', 'copperbottom', 'young', 'robot', 'inventor', 'dream', 'make', 'world', 'better', 'place', 'evil', 'ratchet', 'take', 'big', 'weld', 'industri', 'rodney', 'dream', 'friend', 'danger', 'becom', 'obsolet']"
the angry birds movie,an island populated entirely by happy  flightless birds or almost entirely  in this paradise  red  a bird with a temper problem  speedy chuck  and the volatile bomb have always been outsiders  but when the island is visited by mysterious green piggies  it s up to these unlikely outcasts to figure out what the pigs are up to ,62.0,  animation    adventure    comedy  ,"['island', 'popul', 'entir', 'happi', 'flightless', 'bird', 'almost', 'entir', 'paradis', 'red', 'bird', 'temper', 'problem', 'speedi', 'chuck', 'volatil', 'bomb', 'alway', 'outsid', 'island', 'visit', 'mysteri', 'green', 'piggi', 'unlik', 'outcast', 'figur', 'pig']"
never back down,jake  full of anger after his father s death  is just starting to find a place for himself at his new orlando high school   until ryan  head of an underground mma fight club  picks jake out as a prime opponent  after being trounced by ryan in front of the entire school  jake begins training under the firm  moral guidance of a mma master  where he learns how to fight    and how to avoid a fight  but it becomes obvious that a rematch will be inevitable if jake wants to stop ryan and his bullying  once and for all ,67.0,  drama    action  ,"['jake', 'full', 'anger', 'father', 'death', 'start', 'find', 'place', 'new', 'orlando', 'high', 'school', 'ryan', 'head', 'underground', 'mma', 'fight', 'club', 'pick', 'jake', 'prime', 'oppon', 'trounc', 'ryan', 'front', 'entir', 'school', 'jake', 'begin', 'train', 'firm', 'moral', 'guidanc', 'mma', 'master', 'learn', 'fight', 'avoid', 'fight', 'becom', 'obviou', 'rematch', 'inevit', 'jake', 'want', 'stop', 'ryan', 'bulli']"
king tweety,everyone s favorite yellow canary unexpectedly becomes next in line for the crown when the queen of an island paradise disappears  his little highness  entourage includes motorbike daredevil granny and sly sylvester  whose allegiance is tested when he uncovers a sinister plot to eliminate tweety for good ,70.0,  animation    comedy    family  ,"['everyon', 'favorit', 'yellow', 'canari', 'unexpectedli', 'becom', 'next', 'line', 'crown', 'queen', 'island', 'paradis', 'disappear', 'littl', 'high', 'entourag', 'includ', 'motorbik', 'daredevil', 'granni', 'sli', 'sylvest', 'whose', 'allegi', 'test', 'uncov', 'sinist', 'plot', 'elimin', 'tweeti', 'good']"
finding dory,dory is reunited with her friends nemo and marlin in the search for answers about her past  what can she remember  who are her parents  and where did she learn to speak whale ,70.0,  adventure    animation    comedy    family  ,"['dori', 'reunit', 'friend', 'nemo', 'marlin', 'search', 'answer', 'past', 'rememb', 'parent', 'learn', 'speak', 'whale']"
national lampoon's christmas vacation,it s christmastime  and the griswolds are preparing for a family seasonal celebration  but things never run smoothly for clark  his wife ellen  and their two kids  clark s continual bad luck is worsened by his obnoxious family guests  but he manages to keep going  knowing that his christmas bonus is due soon ,72.0,  comedy  ,"['christmastim', 'griswold', 'prepar', 'famili', 'season', 'celebr', 'thing', 'never', 'run', 'smoothli', 'clark', 'wife', 'ellen', 'two', 'kid', 'clark', 'continu', 'bad', 'luck', 'worsen', 'obnoxi', 'famili', 'guest', 'manag', 'keep', 'go', 'know', 'christma', 'bonu', 'due', 'soon']"
fantastic four: rise of the silver surfer,the fantastic four return to the big screen as a new and all powerful enemy threatens the earth  the seemingly unstoppable  silver surfer   but all is not what it seems and there are old and new enemies that pose a greater threat than the intrepid superheroes realize ,56.0,  adventure    fantasy    action    thriller  ,"['fantast', 'four', 'return', 'big', 'screen', 'new', 'power', 'enemi', 'threaten', 'earth', 'seemingli', 'unstopp', 'silver', 'surfer', 'seem', 'old', 'new', 'enemi', 'pose', 'greater', 'threat', 'intrepid', 'superhero', 'realiz']"
die hard: with a vengeance,new york detective john mcclane is back and kicking bad guy butt in the third installment of this action packed series  which finds him teaming with civilian zeus carver to prevent the loss of innocent lives  mcclane thought he d seen it all  until a genius named simon engages mcclane  his new  partner     and his beloved city    in a deadly game that demands their concentration ,72.0,  action    thriller  ,"['new', 'york', 'detect', 'john', 'mcclane', 'back', 'kick', 'bad', 'guy', 'butt', 'third', 'instal', 'action', 'pack', 'seri', 'find', 'team', 'civilian', 'zeu', 'carver', 'prevent', 'loss', 'innoc', 'live', 'mcclane', 'thought', 'seen', 'geniu', 'name', 'simon', 'engag', 'mcclane', 'new', 'partner', 'belov', 'citi', 'deadli', 'game', 'demand', 'concentr']"
"tad, the lost explorer",tad is a celebrity archaeologist and adventurer just like his hero max mordon    in his dreams  in reality  tad is a chicago construction worker  one day  however  he is mistaken for a real professor and takes his place on a flight to peru in search of the lost city of paititi ,62.0,  animation    comedy    adventure    family  ,"['tad', 'celebr', 'archaeologist', 'adventur', 'like', 'hero', 'max', 'mordon', 'dream', 'realiti', 'tad', 'chicago', 'construct', 'worker', 'one', 'day', 'howev', 'mistaken', 'real', 'professor', 'take', 'place', 'flight', 'peru', 'search', 'lost', 'citi', 'paititi']"
the mummy: tomb of the dragon emperor,archaeologist rick o connell travels to china  pitting him against an emperor from the       year old han dynasty who s returned from the dead to pursue a quest for world domination  this time  o connell enlists the help of his wife and son to quash the so called  dragon emperor  and his abuse of supernatural power ,55.0,  adventure    action    fantasy  ,"['archaeologist', 'rick', 'connel', 'travel', 'china', 'pit', 'emperor', 'year', 'old', 'han', 'dynasti', 'return', 'dead', 'pursu', 'quest', 'world', 'domin', 'time', 'connel', 'enlist', 'help', 'wife', 'son', 'quash', 'call', 'dragon', 'emperor', 'abus', 'supernatur', 'power']"
blackhat,nicholas hathaway  a furloughed convict  and his american and chinese partners as hunt a high level cybercrime network from chicago to los angeles to hong kong to jakarta  as hathaway closes in  the stakes become personal as he discovers that the attack on a chinese nuclear power plant was just the beginning ,55.0,  crime    thriller    action  ,"['nichola', 'hathaway', 'furlough', 'convict', 'american', 'chines', 'partner', 'hunt', 'high', 'level', 'cybercrim', 'network', 'chicago', 'lo', 'angel', 'hong', 'kong', 'jakarta', 'hathaway', 'close', 'stake', 'becom', 'person', 'discov', 'attack', 'chines', 'nuclear', 'power', 'plant', 'begin']"
sex and the city 2,carrie  charlotte  and miranda are all married now  but they re still up for a little fun in the sun  when samantha gets the chance to visit one of the most extravagant vacation destinations on the planet and offers to bring them all along  they surmise that a women only retreat may be the perfect excuse to eschew their responsibilities and remember what life was like before they decided to settle down ,61.0,  comedy    drama    romance  ,"['carri', 'charlott', 'miranda', 'marri', 'still', 'littl', 'fun', 'sun', 'samantha', 'get', 'chanc', 'visit', 'one', 'extravag', 'vacat', 'destin', 'planet', 'offer', 'bring', 'along', 'surmis', 'women', 'retreat', 'may', 'perfect', 'excus', 'eschew', 'respons', 'rememb', 'life', 'like', 'decid', 'settl']"
v for vendetta,in a world in which great britain has become a fascist state  a masked vigilante known only as  v  conducts guerrilla warfare against the oppressive british government  when v rescues a young woman from the secret police  he finds in her an ally with whom he can continue his fight to free the people of britain ,79.0,  action    thriller    science fiction  ,"['world', 'great', 'britain', 'becom', 'fascist', 'state', 'mask', 'vigilant', 'known', 'v', 'conduct', 'guerrilla', 'warfar', 'oppress', 'british', 'govern', 'v', 'rescu', 'young', 'woman', 'secret', 'polic', 'find', 'alli', 'continu', 'fight', 'free', 'peopl', 'britain']"
akira,a secret military project endangers neo tokyo when it turns a biker gang member into a rampaging psychic psychopath that only two teenagers and a group of psychics can stop ,80.0,  animation    science fiction    action  ,"['secret', 'militari', 'project', 'endang', 'neo', 'tokyo', 'turn', 'biker', 'gang', 'member', 'rampag', 'psychic', 'psychopath', 'two', 'teenag', 'group', 'psychic', 'stop']"
cloudy with a chance of meatballs 2,after the disastrous food storm in the first film  flint and his friends are forced to leave the town  flint accepts the invitation from his idol chester v to join the live corp company  which has been tasked to clean the island  and where the best inventors in the world create technologies for the betterment of mankind  when flint discovers that his machine still operates and now creates mutant food beasts like living pickles  hungry tacodiles  shrimpanzees and apple pie thons  he and his friends must return to save the world ,64.0,  animation    family    comedy  ,"['disastr', 'food', 'storm', 'first', 'film', 'flint', 'friend', 'forc', 'leav', 'town', 'flint', 'accept', 'invit', 'idol', 'chester', 'v', 'join', 'live', 'corp', 'compani', 'task', 'clean', 'island', 'best', 'inventor', 'world', 'creat', 'technolog', 'better', 'mankind', 'flint', 'discov', 'machin', 'still', 'oper', 'creat', 'mutant', 'food', 'beast', 'like', 'live', 'pickl', 'hungri', 'tacodil', 'shrimpanze', 'appl', 'pie', 'thon', 'friend', 'must', 'return', 'save', 'world']"
neon genesis evangelion: the end of evangelion,the second of two theatrically released follow ups to the neon genesis evangelion series  comprising of two alternate episodes which were first intended to take the place of episodes    and     this finale answers many of the questions surrounding the series  while also opening up some new possibilities ,84.0,  drama    animation    science fiction    action  ,"['second', 'two', 'theatric', 'releas', 'follow', 'up', 'neon', 'genesi', 'evangelion', 'seri', 'compris', 'two', 'altern', 'episod', 'first', 'intend', 'take', 'place', 'episod', 'final', 'answer', 'mani', 'question', 'surround', 'seri', 'also', 'open', 'new', 'possibl']"
terminator 3: rise of the machines,it s been    years since john connor saved earth from judgment day  and he s now living under the radar  steering clear of using anything skynet can trace  that is  until he encounters t x  a robotic assassin ordered to finish what t      started  good thing connor s former nemesis  the terminator  is back to aid the now adult connor   just like he promised ,61.0,  action    thriller    science fiction  ,"['year', 'sinc', 'john', 'connor', 'save', 'earth', 'judgment', 'day', 'live', 'radar', 'steer', 'clear', 'use', 'anyth', 'skynet', 'trace', 'encount', 'x', 'robot', 'assassin', 'order', 'finish', 'start', 'good', 'thing', 'connor', 'former', 'nemesi', 'termin', 'back', 'aid', 'adult', 'connor', 'like', 'promis']"
digimon adventure: last evolution kizuna,tai is now a university student  living alone  working hard at school  and working every day  but with his future still undecided  meanwhile  matt and others continue to work on digimon incidents and activities that help people with their partner digimon  when an unprecedented phenomenon occurs  the digidestined discover that when they grow up  their relationship with their partner digimon will come closer to an end   as a countdown timer activates on the digivice  they realize that the more they fight with their partner digimon  the faster their bond breaks  will they fight for others and lose their partner  the time to choose and decide is approaching fast  there is a short time before  chosen children  will become adults  this is the last adventure of tai and agumon ,81.0,  animation    action    adventure    fantasy  ,"['tai', 'univers', 'student', 'live', 'alon', 'work', 'hard', 'school', 'work', 'everi', 'day', 'futur', 'still', 'undecid', 'meanwhil', 'matt', 'other', 'continu', 'work', 'digimon', 'incid', 'activ', 'help', 'peopl', 'partner', 'digimon', 'unpreced', 'phenomenon', 'occur', 'digidestin', 'discov', 'grow', 'relationship', 'partner', 'digimon', 'come', 'closer', 'end', 'countdown', 'timer', 'activ', 'digivic', 'realiz', 'fight', 'partner', 'digimon', 'faster', 'bond', 'break', 'fight', 'other', 'lose', 'partner', 'time', 'choos', 'decid', 'approach', 'fast', 'short', 'time', 'chosen', 'children', 'becom', 'adult', 'last', 'adventur', 'tai', 'agumon']"
cinderella,cinderella  an orphaned girl with an evil stepmother  has big dreams and with the help of her fabulous godmother  she perseveres to make them come true ,65.0,  fantasy    romance    comedy  ,"['cinderella', 'orphan', 'girl', 'evil', 'stepmoth', 'big', 'dream', 'help', 'fabul', 'godmoth', 'persever', 'make', 'come', 'true']"
the book of life,the journey of manolo  a young man who is torn between fulfilling the expectations of his family and following his heart  before choosing which path to follow  he embarks on an incredible adventure that spans three fantastical worlds where he must face his greatest fears ,75.0,  animation    adventure    comedy    family    fantasy  ,"['journey', 'manolo', 'young', 'man', 'torn', 'fulfil', 'expect', 'famili', 'follow', 'heart', 'choos', 'path', 'follow', 'embark', 'incred', 'adventur', 'span', 'three', 'fantast', 'world', 'must', 'face', 'greatest', 'fear']"
spectre,a cryptic message from bond s past sends him on a trail to uncover a sinister organization  while m battles political forces to keep the secret service alive  bond peels back the layers of deceit to reveal the terrible truth behind spectre ,65.0,  action    adventure    thriller  ,"['cryptic', 'messag', 'bond', 'past', 'send', 'trail', 'uncov', 'sinist', 'organ', 'battl', 'polit', 'forc', 'keep', 'secret', 'servic', 'aliv', 'bond', 'peel', 'back', 'layer', 'deceit', 'reveal', 'terribl', 'truth', 'behind', 'spectr']"
the revenant,in the     s  a frontiersman  hugh glass  sets out on a path of vengeance against those who left him for dead after a bear mauling ,75.0,  western    drama    adventure  ,"['frontiersman', 'hugh', 'glass', 'set', 'path', 'vengeanc', 'left', 'dead', 'bear', 'maul']"
now you see me 2,one year after outwitting the fbi and winning the public s adulation with their mind bending spectacles  the four horsemen resurface only to find themselves face to face with a new enemy who enlists them to pull off their most dangerous heist yet ,68.0,  crime    thriller    action    mystery  ,"['one', 'year', 'outwit', 'fbi', 'win', 'public', 'adul', 'mind', 'bend', 'spectacl', 'four', 'horsemen', 'resurfac', 'find', 'face', 'face', 'new', 'enemi', 'enlist', 'pull', 'danger', 'heist', 'yet']"
fairy tail: dragon cry,natsu dragneel and his friends travel to the island kingdom of stella  where they will reveal dark secrets  fight the new enemies and once again save the world from destruction ,65.0,  action    adventure    comedy    fantasy    animation  ,"['natsu', 'dragneel', 'friend', 'travel', 'island', 'kingdom', 'stella', 'reveal', 'dark', 'secret', 'fight', 'new', 'enemi', 'save', 'world', 'destruct']"
dumb and dumber,lloyd and harry are two men whose stupidity is really indescribable  when mary  a beautiful woman  loses an important suitcase with money before she leaves for aspen  the two friends  who have found the suitcase  decide to return it to her  after some  adventures  they finally get to aspen where  using the lost money they live it up and fight for mary s heart ,66.0,  comedy  ,"['lloyd', 'harri', 'two', 'men', 'whose', 'stupid', 'realli', 'indescrib', 'mari', 'beauti', 'woman', 'lose', 'import', 'suitcas', 'money', 'leav', 'aspen', 'two', 'friend', 'found', 'suitcas', 'decid', 'return', 'adventur', 'final', 'get', 'aspen', 'use', 'lost', 'money', 'live', 'fight', 'mari', 'heart']"
bad boys ii,out of control  trash talking buddy cops marcus burnett and mike lowrey of the miami narcotics task force reunite  and bullets fly  cars crash and laughs explode as they pursue a whacked out drug lord from the streets of miami to the barrios of cuba  but the real fireworks result when marcus discovers that playboy mike is secretly romancing marcus  sexy sister ,66.0,  adventure    action    comedy    thriller    crime  ,"['control', 'trash', 'talk', 'buddi', 'cop', 'marcu', 'burnett', 'mike', 'lowrey', 'miami', 'narcot', 'task', 'forc', 'reunit', 'bullet', 'fli', 'car', 'crash', 'laugh', 'explod', 'pursu', 'whack', 'drug', 'lord', 'street', 'miami', 'barrio', 'cuba', 'real', 'firework', 'result', 'marcu', 'discov', 'playboy', 'mike', 'secretli', 'romanc', 'marcu', 'sexi', 'sister']"
g.i. joe: the rise of cobra,from the egyptian desert to deep below the polar ice caps  the elite g i  joe team uses the latest in next generation spy and military equipment to fight the corrupt arms dealer destro and the growing threat of the mysterious cobra organization to prevent them from plunging the world into chaos ,58.0,  adventure    action    thriller    science fiction  ,"['egyptian', 'desert', 'deep', 'polar', 'ice', 'cap', 'elit', 'g', 'joe', 'team', 'use', 'latest', 'next', 'gener', 'spi', 'militari', 'equip', 'fight', 'corrupt', 'arm', 'dealer', 'destro', 'grow', 'threat', 'mysteri', 'cobra', 'organ', 'prevent', 'plung', 'world', 'chao']"
ben-hur,in    ad judah ben hur  a jew in ancient judea  opposes the occupying roman empire   falsely accused by a roman childhood friend turned overlord of trying to kill the roman governor  he is put into slavery and his mother and sister are taken away as prisoners   three years later and freed by a grateful roman galley commander whom he has rescued from drowning  he becomes an expert charioteer for rome  all the while plotting to return to judea  find and rescue his family  and avenge himself on his former friend   all the while  the form and work of jesus move in the background of his life   ,78.0,  action    drama    history  ,"['ad', 'judah', 'ben', 'hur', 'jew', 'ancient', 'judea', 'oppos', 'occupi', 'roman', 'empir', 'fals', 'accus', 'roman', 'childhood', 'friend', 'turn', 'overlord', 'tri', 'kill', 'roman', 'governor', 'put', 'slaveri', 'mother', 'sister', 'taken', 'away', 'prison', 'three', 'year', 'later', 'freed', 'grate', 'roman', 'galley', 'command', 'rescu', 'drown', 'becom', 'expert', 'chariot', 'rome', 'plot', 'return', 'judea', 'find', 'rescu', 'famili', 'aveng', 'former', 'friend', 'form', 'work', 'jesu', 'move', 'background', 'life']"
cast away,chuck nolan  a top international manager for fedex  and kelly  a ph d  student  are in love and heading towards marriage  then chuck s plane to malaysia crashes at sea during a terrible storm  he s the only survivor  and finds himself marooned on a desolate island  with no way to escape  chuck must find ways to survive in his new home ,77.0,  adventure    drama  ,"['chuck', 'nolan', 'top', 'intern', 'manag', 'fedex', 'kelli', 'ph', 'student', 'love', 'head', 'toward', 'marriag', 'chuck', 'plane', 'malaysia', 'crash', 'sea', 'terribl', 'storm', 'survivor', 'find', 'maroon', 'desol', 'island', 'way', 'escap', 'chuck', 'must', 'find', 'way', 'surviv', 'new', 'home']"
evolution,a comedy that follows the chaos that ensues when a meteor hits the earth carrying alien life forms that give new meaning to the term  survival of the fittest   david duchovny  orlando jones  seann william scott  and julianne moore are the only people standing between the aliens and world domination    which could be bad news for the earth ,60.0,  comedy    science fiction    action  ,"['comedi', 'follow', 'chao', 'ensu', 'meteor', 'hit', 'earth', 'carri', 'alien', 'life', 'form', 'give', 'new', 'mean', 'term', 'surviv', 'fittest', 'david', 'duchovni', 'orlando', 'jone', 'seann', 'william', 'scott', 'juliann', 'moor', 'peopl', 'stand', 'alien', 'world', 'domin', 'could', 'bad', 'news', 'earth']"
divergent,in a world divided into factions based on personality types  tris learns that she s been classified as divergent and won t fit in  when she discovers a plot to destroy divergents  tris and the mysterious four must find out what makes divergents dangerous before it s too late ,69.0,  action    adventure    science fiction  ,"['world', 'divid', 'faction', 'base', 'person', 'type', 'tri', 'learn', 'classifi', 'diverg', 'fit', 'discov', 'plot', 'destroy', 'diverg', 'tri', 'mysteri', 'four', 'must', 'find', 'make', 'diverg', 'danger', 'late']"
we're the millers,a veteran pot dealer creates a fake family as part of his plan to move a huge shipment of weed into the u s  from mexico ,68.0,  comedy    crime  ,"['veteran', 'pot', 'dealer', 'creat', 'fake', 'famili', 'part', 'plan', 'move', 'huge', 'shipment', 'weed', 'u', 'mexico']"
phineas and ferb: the movie: candace against the universe,phineas and ferb travel across the galaxy to rescue their older sister candace  who has been abducted by aliens and taken to a utopia in a far off planet  free of her pesky little brothers ,73.0,  family    animation    science fiction    comedy    tv movie  ,"['phinea', 'ferb', 'travel', 'across', 'galaxi', 'rescu', 'older', 'sister', 'candac', 'abduct', 'alien', 'taken', 'utopia', 'far', 'planet', 'free', 'peski', 'littl', 'brother']"
the punisher,when undercover fbi agent frank castle s wife and son are slaughtered  he becomes  the punisher     a ruthless vigilante willing to go to any length to avenge his family ,63.0,  action    crime    drama  ,"['undercov', 'fbi', 'agent', 'frank', 'castl', 'wife', 'son', 'slaughter', 'becom', 'punish', 'ruthless', 'vigilant', 'will', 'go', 'length', 'aveng', 'famili']"
cj7,ti  a really poor construction worker that struggles to keep his son  dicky  in private school  mistakes an orb he finds in a junkjard for a toy which proves to be much  much more once the young boy starts to play with it ,72.0,  comedy    drama    family    fantasy    science fiction  ,"['ti', 'realli', 'poor', 'construct', 'worker', 'struggl', 'keep', 'son', 'dicki', 'privat', 'school', 'mistak', 'orb', 'find', 'junkjard', 'toy', 'prove', 'much', 'much', 'young', 'boy', 'start', 'play']"
the interview,dave skylark and his producer aaron rapaport run the celebrity tabloid show  skylark tonight   when they land an interview with a surprise fan  north korean dictator kim jong un  they are recruited by the cia to turn their trip to pyongyang into an assassination mission ,62.0,  action    comedy  ,"['dave', 'skylark', 'produc', 'aaron', 'rapaport', 'run', 'celebr', 'tabloid', 'show', 'skylark', 'tonight', 'land', 'interview', 'surpris', 'fan', 'north', 'korean', 'dictat', 'kim', 'jong', 'un', 'recruit', 'cia', 'turn', 'trip', 'pyongyang', 'assassin', 'mission']"
indiana jones and the kingdom of the crystal skull,set during the cold war  the soviets led by sword wielding irina spalko are in search of a crystal skull which has supernatural powers related to a mystical lost city of gold  indy is coerced to head to peru at the behest of a young man whose friend and indy s colleague professor oxley has been captured for his knowledge of the skull s whereabouts ,60.0,  adventure    action  ,"['set', 'cold', 'war', 'soviet', 'led', 'sword', 'wield', 'irina', 'spalko', 'search', 'crystal', 'skull', 'supernatur', 'power', 'relat', 'mystic', 'lost', 'citi', 'gold', 'indi', 'coerc', 'head', 'peru', 'behest', 'young', 'man', 'whose', 'friend', 'indi', 'colleagu', 'professor', 'oxley', 'captur', 'knowledg', 'skull', 'whereabout']"
meet the robinsons,lewis  a brilliant young inventor  is keen on creating a time machine to find his mother  who abandoned him in an orphanage  things take a turn when he meets wilbur robinson and his family ,69.0,  animation    comedy    family  ,"['lewi', 'brilliant', 'young', 'inventor', 'keen', 'creat', 'time', 'machin', 'find', 'mother', 'abandon', 'orphanag', 'thing', 'take', 'turn', 'meet', 'wilbur', 'robinson', 'famili']"
