tweetLink,tweetDate,commentCount,retweetCount,quoteCount,likeCount,twitterId,handle,text,profileUser,mediaUrl,timestamp,viewCount,query,type,videoViewCount
https://twitter.com/Dailymirror_SL/status/1678257663757651969,Mon Jul 10 04:19:42 +0000 2023,0,0,0,1,66329707,Dailymirror_SL,"Lankan and Indian travel agents firm up ties at TAAI Convention
#DailyMirror #SriLanka #BusinessNews 

https://t.co/LK2jGveSNU",https://twitter.com/Dailymirror_SL,,2023-07-11T17:11:05.788Z,1056,https://twitter.com/Dailymirror_SL,tweet,
https://twitter.com/Dailymirror_SL/status/1678257132507111425,Mon Jul 10 04:17:35 +0000 2023,0,1,0,2,66329707,Dailymirror_SL,"June workersâ€™ remittances reach US$ 476mn; total exceeds US$ 2.8bn in first half
#DailyMirror #SriLanka #BusinessNews 

https://t.co/fMO7zvnLwI",https://twitter.com/Dailymirror_SL,,2023-07-11T17:11:06.148Z,1094,https://twitter.com/Dailymirror_SL,tweet,
https://twitter.com/Dailymirror_SL/status/1678256821344305154,Mon Jul 10 04:16:21 +0000 2023,0,0,0,0,66329707,Dailymirror_SL,"Yenasys triumphs as Best Startup at SLASSCOM National Ingenuity Awards 2023
#DailyMirror #SriLanka #BusinessNews 

https://t.co/pdbqADwPji",https://twitter.com/Dailymirror_SL,,2023-07-11T17:11:06.520Z,988,https://twitter.com/Dailymirror_SL,tweet,
https://twitter.com/Dailymirror_SL/status/1678256230190686209,Mon Jul 10 04:14:00 +0000 2023,0,0,0,0,66329707,Dailymirror_SL,"UB Finance IPO to open on July 20
#DailyMirror #SriLanka 

https://t.co/XfNp3Jdfsa",https://twitter.com/Dailymirror_SL,,2023-07-11T17:11:06.900Z,985,https://twitter.com/Dailymirror_SL,tweet,
https://twitter.com/Dailymirror_SL/status/1678255787939098624,Mon Jul 10 04:12:14 +0000 2023,0,0,0,0,66329707,Dailymirror_SL,"Ceylinco Life marks milestone in May with assets topping Rs. 200 bn and equity crossing Rs. 50bn
#DailyMirror #SriLanka 

https://t.co/9Uz23xfM0i",https://twitter.com/Dailymirror_SL,,2023-07-11T17:11:09.782Z,974,https://twitter.com/Dailymirror_SL,tweet,
https://twitter.com/Dailymirror_SL/status/1678255452034043905,Mon Jul 10 04:10:54 +0000 2023,0,0,0,0,66329707,Dailymirror_SL,"Hunas Falls joins forces with top hotelier Adrian Zecha for â€˜Visumpayaâ€™ restoration project
#DailyMirror #SriLanka #BusinessNews 

https://t.co/8xudlW50w5",https://twitter.com/Dailymirror_SL,,2023-07-11T17:11:10.066Z,953,https://twitter.com/Dailymirror_SL,tweet,
https://twitter.com/Dailymirror_SL/status/1678249283248869376,Mon Jul 10 03:46:24 +0000 2023,1,0,0,0,66329707,Dailymirror_SL,"Nilfer Ibrahim assaulted after St. Josephâ€™s â€“ Kingswood match
#DailyMirror #SriLanka 

https://t.co/JIK2W1qlVa",https://twitter.com/Dailymirror_SL,,2023-07-11T17:11:10.447Z,1484,https://twitter.com/Dailymirror_SL,tweet,
https://twitter.com/Dailymirror_SL/status/1678248772802068480,Mon Jul 10 03:44:22 +0000 2023,0,0,0,0,66329707,Dailymirror_SL,"Another accident kills 2, injures 29 in Ambanpola
#DailyMirror #SriLanka 

https://t.co/okBTTe9ie7",https://twitter.com/Dailymirror_SL,,2023-07-11T17:11:10.832Z,1019,https://twitter.com/Dailymirror_SL,tweet,
https://twitter.com/Dailymirror_SL/status/1678248321012600832,Mon Jul 10 03:42:34 +0000 2023,0,0,0,6,66329707,Dailymirror_SL,"Thai Air Asia resumes flights from Bangkok to Colombo
#DailyMirror #SriLanka 

https://t.co/2948RFAbfR",https://twitter.com/Dailymirror_SL,,2023-07-11T17:11:11.122Z,2632,https://twitter.com/Dailymirror_SL,tweet,
https://twitter.com/Dailymirror_SL/status/1678247975330648064,Mon Jul 10 03:41:12 +0000 2023,0,0,0,0,66329707,Dailymirror_SL,"CB continues to maintain that rupee debt doesnâ€™t have to be restructured
#DailyMirror #SriLanka 

https://t.co/aKPFdGAvWo",https://twitter.com/Dailymirror_SL,,2023-07-11T17:11:11.497Z,1225,https://twitter.com/Dailymirror_SL,tweet,
https://twitter.com/Dailymirror_SL/status/1678247102487609346,Mon Jul 10 03:37:44 +0000 2023,0,0,0,0,66329707,Dailymirror_SL,"Private credit shrinks for 12th straight month; CB expects gradual turnaround
#DailyMirror #SriLanka 
 https://t.co/6pmuY99ple",https://twitter.com/Dailymirror_SL,,2023-07-11T17:11:11.857Z,1115,https://twitter.com/Dailymirror_SL,tweet,
https://twitter.com/Dailymirror_SL/status/1678088261498179584,Sun Jul 09 17:06:33 +0000 2023,0,0,0,2,66329707,Dailymirror_SL,"Lankan-born Aussie Gold Medalist wanted to withdraw from games

https://t.co/anAXQVyvyo",https://twitter.com/Dailymirror_SL,,2023-07-11T17:11:12.153Z,1813,https://twitter.com/Dailymirror_SL,tweet,
https://twitter.com/Dailymirror_SL/status/1678087593672704002,Sun Jul 09 17:03:54 +0000 2023,0,0,0,1,66329707,Dailymirror_SL,"Till populist victory...

https://t.co/8UBOcA7KXN",https://twitter.com/Dailymirror_SL,,2023-07-11T17:11:12.429Z,1371,https://twitter.com/Dailymirror_SL,tweet,
https://twitter.com/Dailymirror_SL/status/1678082868386631680,Sun Jul 09 16:45:07 +0000 2023,0,0,0,1,66329707,Dailymirror_SL,"Floral tribute to founder on 50th anniversary of Amarapura Mulawanshika Chapter

https://t.co/gyt10lx2mH",https://twitter.com/Dailymirror_SL,,2023-07-11T17:11:12.713Z,1359,https://twitter.com/Dailymirror_SL,tweet,
https://twitter.com/Dailymirror_SL/status/1678082603461791744,Sun Jul 09 16:44:04 +0000 2023,3,1,0,4,66329707,Dailymirror_SL,"At least 9 killed, over 20 injured after bus topples into river at Manampitiya

https://t.co/LtAddfy3jv",https://twitter.com/Dailymirror_SL,,2023-07-11T17:11:13.096Z,1995,https://twitter.com/Dailymirror_SL,tweet,
https://twitter.com/Dailymirror_SL/status/1678077902590713856,Sun Jul 09 16:25:23 +0000 2023,0,0,0,2,66329707,Dailymirror_SL,"Advisor to the All-Island Poultry Association of Sri Lanka Mathalee Jayasekara said that the government does not grant any concessions to the poultry farming sector.

â€œThere are reports that poultry imports are going to be further taxed up to Rs. 75 per kilo. How can the price ofâ€¦ https://t.co/E5NdYjzGKK",https://twitter.com/Dailymirror_SL,,2023-07-11T17:11:13.472Z,1941,https://twitter.com/Dailymirror_SL,tweet,591
https://twitter.com/Dailymirror_SL/status/1678074899901075459,Sun Jul 09 16:13:27 +0000 2023,2,0,0,4,66329707,Dailymirror_SL,Members of the Inter University Studentsâ€™ Federation (IUSF) staged a protest in Maharagama today to mark one year since the ousting of former President Gotabaya Rajapaksa. https://t.co/6SE0A0cGuL,https://twitter.com/Dailymirror_SL,,2023-07-11T17:11:13.843Z,1755,https://twitter.com/Dailymirror_SL,tweet,573
https://twitter.com/Dailymirror_SL/status/1678071307131564037,Sun Jul 09 15:59:11 +0000 2023,0,0,0,6,66329707,Dailymirror_SL,"The Daily Mirror spoke to vendors and consumers who shared their views on the surge of vegetables prices in the market.

â€œWhether the prices are high or low, weâ€™ve got to eat,â€ one consumer said. https://t.co/nUaxl4e1H6",https://twitter.com/Dailymirror_SL,,2023-07-11T17:11:14.128Z,1897,https://twitter.com/Dailymirror_SL,tweet,729
https://twitter.com/Dailymirror_SL/status/1678071237061521408,Sun Jul 09 15:58:54 +0000 2023,3,0,0,4,66329707,Dailymirror_SL,"President Ranil Wickremesinghe was only left with three shirts and two pants following the attack, United National Party (UNP) Deputy Leader Ruwan Wijewardene said recalling the arson attack on the Presidentâ€™s private residence on July 9, 2022. https://t.co/ZhnjR11kSg",https://twitter.com/Dailymirror_SL,,2023-07-11T17:11:14.406Z,2762,https://twitter.com/Dailymirror_SL,tweet,972
https://twitter.com/Dailymirror_SL/status/1678069448933261313,Sun Jul 09 15:51:48 +0000 2023,0,0,0,0,66329707,Dailymirror_SL,"Director General of Trade Unions to the President Saman Rathnapriya said that many were wishing for the Presidency but were too afraid to take on the challenges of the job.

He made these comments recalling the challenges President Ranil Wickremesinghe was faced with when heâ€¦ https://t.co/4q6ehhFKxG",https://twitter.com/Dailymirror_SL,,2023-07-11T17:11:14.780Z,1847,https://twitter.com/Dailymirror_SL,tweet,634
https://twitter.com/Dailymirror_SL/status/1678068967821414400,Sun Jul 09 15:49:53 +0000 2023,5,3,3,15,66329707,Dailymirror_SL,"Former Minister Mervyn Silva recalling how he saved lives during the Rajapaksa regime, said that former President Gotabaya Rajapaksa almost murdered three of his aides.

â€œThree of my aides were taken to be murdered by Gotabaya and his hidden army. I threatened former Presidentâ€¦ https://t.co/5fnmsneqmd",https://twitter.com/Dailymirror_SL,,2023-07-11T17:11:15.176Z,11438,https://twitter.com/Dailymirror_SL,tweet,3308
